source,event_id,division_id,athlete_id,place,incomplete
Live Heats,117331,247054,923341,13,False
Live Heats,117331,247054,1203243,13,False
Live Heats,117331,247054,923338,13,False
Live Heats,117331,247054,923342,17,False
Live Heats,117331,247055,1169635,1,False
Live Heats,117331,247055,923450,2,False
Live Heats,117331,247055,1576025,3,False
Live Heats,117331,247055,844750,4,False
Live Heats,117331,247055,1576322,5,False
Live Heats,117331,247055,923485,6,False
Live Heats,117331,247055,775151,7,False
Live Heats,117331,247055,1176481,7,False
Live Heats,117331,247055,1585991,9,False
Live Heats,117331,247055,1076613,9,False
Live Heats,117331,247055,1076612,9,False
Live Heats,117331,247055,923495,9,False
Live Heats,117331,247055,1198581,13,False
Live Heats,117331,247055,1076615,13,False
Live Heats,117331,247055,1076618,13,False
Live Heats,117331,247055,923883,13,False
Live Heats,117331,247055,1076619,17,False
Live Heats,117331,247055,1076620,17,False
Live Heats,117331,247056,923345,1,False
Live Heats,117331,247056,923350,2,False
Live Heats,117331,247056,1205039,3,False
Live Heats,117331,247056,923348,4,False
Live Heats,117331,247056,923349,4,False
Live Heats,117331,290080,1207521,1,False
Live Heats,117331,290080,923335,2,False
Live Heats,117331,290080,1177773,3,False
Live Heats,117331,290080,1198918,4,False
Live Heats,117331,290080,923341,5,False
Live Heats,117331,293776,937046,1,False
Live Heats,117331,293776,937047,2,False
Live Heats,117331,293776,1166082,3,False
Live Heats,117331,293776,937048,4,False
Live Heats,117331,293776,937049,5,False
Live Heats,117331,293776,937050,6,False
Live Heats,117331,293776,1065416,7,False
Live Heats,117331,293776,1076610,7,False
Live Heats,117331,293776,1076611,7,False
Live Heats,117331,293777,1167311,1,False
Live Heats,117331,293777,937113,2,False
Live Heats,117331,293777,923887,3,False
Live Heats,117331,293777,923886,4,False
Live Heats,117331,293777,923888,5,False
Live Heats,117331,293777,937115,6,False
Live Heats,117331,293777,1076608,7,False
Live Heats,117331,293777,1076609,7,False
Live Heats,117331,293777,1076607,7,False
Live Heats,117331,293809,815441,1,False
Live Heats,117331,293809,937178,2,False
Live Heats,117331,293809,937179,3,False
Live Heats,72452,168196,817949,1,False
Live Heats,72452,168196,845736,2,False
Live Heats,72452,168196,818279,3,False
Live Heats,72452,168196,817916,4,False
Live Heats,72452,168196,818679,5,False
Live Heats,72452,168196,1334796,5,False
Live Heats,72452,168196,817982,7,False
Live Heats,72452,168196,822932,7,False
Live Heats,72452,168196,843691,9,False
Live Heats,72452,168196,1165941,9,False
Live Heats,72452,168196,837486,9,False
Live Heats,72452,168196,819666,9,False
Live Heats,72452,168196,1169635,13,False
Live Heats,72452,168196,847319,13,False
Live Heats,72452,168196,843557,13,False
Live Heats,72452,168196,835109,13,False
Live Heats,72452,168196,814748,17,False
Live Heats,72452,168196,527167,17,False
Live Heats,72452,168196,820094,17,False
Live Heats,72452,168196,1578513,17,False
Live Heats,72452,168196,830753,17,False
Live Heats,72452,168196,834611,17,False
Live Heats,72452,168196,527155,17,False
Live Heats,72452,168196,1200826,17,False
Live Heats,72452,168196,818180,25,False
Live Heats,72452,168196,838673,25,False
Live Heats,72452,168196,856823,25,False
Live Heats,72452,168196,830095,25,False
Live Heats,72452,168196,844750,25,False
Live Heats,72452,168196,842633,25,False
Live Heats,72452,168197,815310,1,False
Live Heats,72452,168197,820127,2,False
Live Heats,72452,168197,820028,3,False
Live Heats,72452,168197,529331,4,False
Live Heats,72452,168197,815441,5,False
Live Heats,72452,168197,820787,5,False
Live Heats,72452,168197,1589294,7,False
Live Heats,147528,290163,1169635,1,False
Live Heats,147528,290163,1576025,2,False
Live Heats,147528,290163,1396558,3,False
Live Heats,147528,290163,923883,4,False
Live Heats,147528,290163,923485,5,False
Live Heats,147528,290163,923882,6,False
Live Heats,147528,290163,1198581,7,False
Live Heats,147528,290163,1065219,7,False
Live Heats,147528,290163,30676,9,False
Live Heats,147528,290163,776006,9,False
Live Heats,147528,290163,1576322,9,False
Live Heats,147528,290164,815441,1,False
Live Heats,147528,290164,1069735,2,False
Live Heats,147528,290164,1069737,3,False
Live Heats,147528,290164,1069739,4,False
Live Heats,147528,290164,1069736,5,False
Live Heats,147528,290164,1069738,5,False
Live Heats,147528,290165,937046,1,False
Live Heats,147528,290165,1398810,2,False
Live Heats,147528,290165,1166082,3,False
Live Heats,147528,290165,937050,4,False
Live Heats,147528,290165,937047,5,False
Live Heats,147528,290165,1065416,6,False
Live Heats,147528,290167,1069707,1,False
Live Heats,147528,290167,1069708,2,False
Live Heats,147528,290167,1069709,3,False
Live Heats,147528,290167,1069710,4,False
Live Heats,147528,332984,923887,1,False
Live Heats,147528,332984,923886,2,False
Live Heats,147528,332984,937113,3,False
Live Heats,147528,332984,923888,4,False
Live Heats,220586,408814,817916,1,False
Live Heats,220586,408814,844750,2,False
Live Heats,220586,408814,835109,3,False
Live Heats,220586,408814,1166082,4,False
Live Heats,220586,408814,1166133,5,False
Live Heats,220586,408814,1176483,5,False
Live Heats,220586,408814,1171678,5,False
Live Heats,220586,408814,532107,5,False
Live Heats,220586,408814,1181562,9,False
Live Heats,220586,408814,1183815,9,False
Live Heats,220586,408814,1182249,9,False
Live Heats,220586,408814,1210022,9,False
Live Heats,220586,408814,576097,9,False
Live Heats,220586,408814,1168151,9,False
Live Heats,220586,408814,1168159,9,False
Live Heats,220586,408814,1170311,9,False
Live Heats,220586,408814,1167311,17,False
Live Heats,220586,408814,1171845,17,False
Live Heats,220586,408814,1210024,17,False
Live Heats,220586,408814,1170707,17,False
Live Heats,220586,408814,1168576,17,False
Live Heats,220586,408815,1167179,1,False
Live Heats,220586,408815,576093,2,False
Live Heats,220586,408815,1171423,3,False
Live Heats,220586,408815,1166237,4,False
Live Heats,220586,408815,1170331,5,False
Live Heats,220586,408815,1165931,5,False
Live Heats,164717,315939,1017451,1,False
Live Heats,164717,315939,1205039,2,False
Live Heats,164717,315939,1205619,3,False
Live Heats,164717,315939,1385584,4,False
Live Heats,164717,315939,1219525,5,False
Live Heats,164717,315939,1213120,5,False
Live Heats,164717,315939,1222638,7,False
Live Heats,164717,315939,1214818,7,False
Live Heats,164717,315939,1208568,9,False
Live Heats,164717,315939,1606324,9,False
Live Heats,164717,315939,1207245,9,False
Live Heats,164717,315939,791455,9,False
Live Heats,164717,315939,1200984,13,False
Live Heats,164717,315939,1206570,13,False
Live Heats,164717,315939,1017459,13,False
Live Heats,164717,315939,566406,13,False
Live Heats,164717,315939,566400,17,False
Live Heats,164717,315939,1206563,17,False
Live Heats,164717,315939,1017461,17,False
Live Heats,164717,315939,1600743,17,False
Live Heats,164717,315939,1221689,19,False
Live Heats,164717,315939,1017463,19,False
Live Heats,164717,315939,1206491,19,False
Live Heats,164717,315939,1017464,19,False
Live Heats,164717,315939,1206435,23,False
Live Heats,187568,353314,1277945,1,False
Live Heats,187568,353314,1277965,2,False
Live Heats,187568,353314,1277966,3,False
Live Heats,187568,353314,1277967,4,False
Live Heats,187555,353252,1195123,1,False
Live Heats,187555,353253,776672,1,True
Live Heats,187555,353253,776671,1,True
Live Heats,187555,353253,776670,1,True
Live Heats,187555,353253,776633,1,True
Live Heats,187555,353253,776681,5,True
Live Heats,187555,353253,1195125,5,True
Live Heats,187555,353253,776666,5,True
Live Heats,187555,353253,776678,5,True
Live Heats,187556,353257,1195100,1,False
Live Heats,187556,353258,936061,1,False
Live Heats,187556,353259,1337275,1,False
Live Heats,187556,353259,1195095,2,False
Live Heats,187556,353259,1195101,3,False
Live Heats,187556,353259,791714,4,False
Live Heats,187556,353259,1195102,5,False
Live Heats,187556,353259,791455,6,False
Live Heats,187578,353358,1122419,1,False
Live Heats,187578,353358,1122421,2,False
Live Heats,187578,353358,1198522,3,False
Live Heats,187578,353358,1122420,4,False
Live Heats,187578,353358,1122422,5,False
Live Heats,187578,353358,1122424,6,False
Live Heats,187578,353358,1113092,7,False
Live Heats,187578,353358,1399571,8,False
Live Heats,187578,353358,1122423,9,False
Live Heats,187578,353358,1122426,10,False
Live Heats,187578,353358,1399572,11,False
Live Heats,187578,353358,1399573,12,False
Live Heats,187578,353358,1399574,13,False
Live Heats,187578,353358,1393372,14,False
Live Heats,187578,353358,1399579,15,False
Live Heats,187578,353358,1399580,16,False
Live Heats,187578,353358,1399581,17,False
Live Heats,187578,353358,1122469,18,False
Live Heats,187578,353358,1399582,19,False
Live Heats,187578,353358,1399583,20,False
Live Heats,187578,353358,1399584,21,False
Live Heats,187578,353359,1573703,1,False
Live Heats,187578,353359,1122460,2,False
Live Heats,187578,353359,1399577,3,False
Live Heats,187578,353361,1399585,1,False
Live Heats,187578,353361,1122474,2,False
Live Heats,187578,353361,1122481,3,False
Live Heats,187578,353361,1122475,4,False
Live Heats,187578,353361,1399586,5,False
Live Heats,187578,353361,1399587,6,False
Live Heats,187578,353361,1399588,7,False
Live Heats,187578,353361,1399590,8,False
Live Heats,187578,353361,1122477,9,False
Live Heats,187578,353361,1122482,10,False
Live Heats,187578,353361,1399591,11,False
Live Heats,187578,353361,1399592,12,False
Live Heats,187558,353267,174196,1,False
