source,event_id,heat_id,division_id,athlete_id,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points,heat_id_athlete_id
Live Heats,164024,1832292,315787,1197966,9.0,9.0,,,True,0.0,0.0,9.0,1832292_1197966
Live Heats,164024,1832292,315787,1000711,11.0,11.0,,,True,0.0,0.0,11.0,1832292_1000711
Live Heats,164024,1832292,315787,1557058,11.0,11.0,,,True,0.0,0.0,11.0,1832292_1557058
Live Heats,164024,1832292,315787,566400,13.0,13.0,,,True,0.0,0.0,13.0,1832292_566400
Live Heats,72489,1654254,168257,776105,1.0,1.0,,,True,0.0,0.0,1.0,1654254_776105
Live Heats,72489,1654254,168257,776106,2.0,2.0,,,True,0.0,0.0,2.0,1654254_776106
Live Heats,72489,1654254,168257,776107,3.0,3.0,,,True,0.0,0.0,3.0,1654254_776107
Live Heats,72489,1654254,168257,776138,4.0,4.0,,,True,0.0,0.0,4.0,1654254_776138
Live Heats,72489,1654254,168257,776139,5.0,5.0,,,True,0.0,0.0,5.0,1654254_776139
Live Heats,72489,1654254,168257,776140,6.0,6.0,,,True,0.0,0.0,6.0,1654254_776140
Live Heats,72489,1654287,168258,1589294,1.0,1.0,,,True,0.0,0.0,1.0,1654287_1589294
Live Heats,72489,1654287,168258,776171,2.0,2.0,,,True,0.0,0.0,2.0,1654287_776171
Live Heats,72489,1654288,168259,30676,1.0,1.0,,,True,0.0,0.0,1.0,1654288_30676
Live Heats,72489,1654288,168259,776006,2.0,2.0,,,True,0.0,0.0,2.0,1654288_776006
Live Heats,72489,1654288,168259,776172,3.0,3.0,,,True,0.0,0.0,3.0,1654288_776172
Live Heats,72489,1654288,168259,776173,4.0,4.0,,,True,0.0,0.0,4.0,1654288_776173
Live Heats,72489,1654288,168259,776171,5.0,5.0,,,True,0.0,0.0,5.0,1654288_776171
Live Heats,72489,1654289,168260,776174,1.0,1.0,,,True,0.0,0.0,1.0,1654289_776174
Live Heats,72489,1654289,168260,776175,2.0,2.0,,,True,0.0,0.0,2.0,1654289_776175
Live Heats,72489,1654289,168260,1306332,3.0,3.0,,,True,0.0,0.0,3.0,1654289_1306332
Live Heats,72489,1654289,168260,776177,4.0,4.0,,,True,0.0,0.0,4.0,1654289_776177
Live Heats,72489,1654289,168260,776178,5.0,5.0,,,True,0.0,0.0,5.0,1654289_776178
Live Heats,117331,1764542,247053,527155,1.0,1.0,,,True,0.0,0.0,1.0,1764542_527155
Live Heats,117331,1764542,247053,1171826,2.0,2.0,,,True,0.0,0.0,2.0,1764542_1171826
Live Heats,117331,1764542,247053,822932,3.0,3.0,,,True,0.0,0.0,3.0,1764542_822932
Live Heats,117331,1764542,247053,845736,4.0,4.0,,,True,0.0,0.0,4.0,1764542_845736
Live Heats,117331,1764542,247053,814748,5.0,5.0,,,True,0.0,0.0,5.0,1764542_814748
Live Heats,117331,1764542,247053,837486,6.0,6.0,,,True,0.0,0.0,6.0,1764542_837486
Live Heats,117331,1764542,247053,1198339,7.0,7.0,,,True,0.0,0.0,7.0,1764542_1198339
Live Heats,117331,1764542,247053,923487,7.0,7.0,,,True,0.0,0.0,7.0,1764542_923487
Live Heats,117331,1764542,247053,820094,9.0,9.0,,,True,0.0,0.0,9.0,1764542_820094
Live Heats,117331,1764542,247053,1334796,9.0,9.0,,,True,0.0,0.0,9.0,1764542_1334796
Live Heats,117331,1764542,247053,530552,9.0,9.0,,,True,0.0,0.0,9.0,1764542_530552
Live Heats,117331,1764542,247053,1578513,9.0,9.0,,,True,0.0,0.0,9.0,1764542_1578513
Live Heats,117331,1764542,247053,818279,13.0,13.0,,,True,0.0,0.0,13.0,1764542_818279
Live Heats,117331,1764542,247053,819666,13.0,13.0,,,True,0.0,0.0,13.0,1764542_819666
Live Heats,117331,1764542,247053,1169354,13.0,13.0,,,True,0.0,0.0,13.0,1764542_1169354
Live Heats,117331,1764542,247053,1411927,13.0,13.0,,,True,0.0,0.0,13.0,1764542_1411927
Live Heats,117331,1764542,247053,818679,17.0,17.0,,,True,0.0,0.0,17.0,1764542_818679
Live Heats,117331,1764542,247053,843557,17.0,17.0,,,True,0.0,0.0,17.0,1764542_843557
Live Heats,117331,1764542,247053,1169635,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1169635
Live Heats,117331,1764542,247053,1200379,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1200379
Live Heats,117331,1764542,247053,1408086,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1408086
Live Heats,117331,1764542,247053,1409162,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1409162
Live Heats,117331,1764542,247053,1200835,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1200835
Live Heats,117331,1764542,247053,1200826,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1200826
Live Heats,117331,1764542,247053,817916,25.0,25.0,,,True,0.0,0.0,25.0,1764542_817916
Live Heats,117331,1764542,247053,835109,25.0,25.0,,,True,0.0,0.0,25.0,1764542_835109
Live Heats,117331,1764542,247053,1165941,25.0,25.0,,,True,0.0,0.0,25.0,1764542_1165941
Live Heats,117331,1764542,247053,844750,25.0,25.0,,,True,0.0,0.0,25.0,1764542_844750
Live Heats,117331,1764542,247053,1392368,25.0,25.0,,,True,0.0,0.0,25.0,1764542_1392368
Live Heats,117331,1764542,247053,530553,25.0,25.0,,,True,0.0,0.0,25.0,1764542_530553
Live Heats,117331,1764542,247053,923493,25.0,25.0,,,True,0.0,0.0,25.0,1764542_923493
Live Heats,117331,1764542,247053,923492,25.0,25.0,,,True,0.0,0.0,25.0,1764542_923492
Live Heats,117331,1764542,247053,923494,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923494
Live Heats,117331,1764542,247053,1169471,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1169471
Live Heats,117331,1764542,247053,923485,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923485
Live Heats,117331,1764542,247053,1166233,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1166233
Live Heats,117331,1764542,247053,817949,33.0,33.0,,,True,0.0,0.0,33.0,1764542_817949
Live Heats,117331,1764542,247053,1163257,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1163257
Live Heats,117331,1764542,247053,830095,33.0,33.0,,,True,0.0,0.0,33.0,1764542_830095
Live Heats,117331,1764542,247053,923495,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923495
Live Heats,117331,1764542,247053,923497,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923497
Live Heats,117331,1764542,247053,530548,33.0,33.0,,,True,0.0,0.0,33.0,1764542_530548
Live Heats,117331,1764542,247053,1181562,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1181562
Live Heats,117331,1764542,247053,923498,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923498
Live Heats,117331,1764542,247053,1166082,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1166082
Live Heats,117331,1764542,247053,775151,33.0,33.0,,,True,0.0,0.0,33.0,1764542_775151
Live Heats,117331,1764542,247053,817982,33.0,33.0,,,True,0.0,0.0,33.0,1764542_817982
Live Heats,117331,1764508,247054,923330,1.0,1.0,,,True,0.0,0.0,1.0,1764508_923330
Live Heats,117331,1764508,247054,820127,2.0,2.0,,,True,0.0,0.0,2.0,1764508_820127
Live Heats,117331,1764508,247054,1210135,3.0,3.0,,,True,0.0,0.0,3.0,1764508_1210135
Live Heats,117331,1764508,247054,923332,4.0,4.0,,,True,0.0,0.0,4.0,1764508_923332
Live Heats,117331,1764508,247054,1205034,5.0,5.0,,,True,0.0,0.0,5.0,1764508_1205034
Live Heats,117331,1764508,247054,1207521,6.0,6.0,,,True,0.0,0.0,6.0,1764508_1207521
Live Heats,117331,1764508,247054,815441,7.0,7.0,,,True,0.0,0.0,7.0,1764508_815441
Live Heats,117331,1764508,247054,923335,7.0,7.0,,,True,0.0,0.0,7.0,1764508_923335
Live Heats,117331,1764508,247054,1198918,9.0,9.0,,,True,0.0,0.0,9.0,1764508_1198918
Live Heats,117331,1764508,247054,1205855,9.0,9.0,,,True,0.0,0.0,9.0,1764508_1205855
Live Heats,117331,1764508,247054,820028,9.0,9.0,,,True,0.0,0.0,9.0,1764508_820028
Live Heats,117331,1764508,247054,1177773,9.0,9.0,,,True,0.0,0.0,9.0,1764508_1177773
Live Heats,117331,1764508,247054,923339,13.0,13.0,,,True,0.0,0.0,13.0,1764508_923339
Live Heats,117331,1764508,247054,923341,13.0,13.0,,,True,0.0,0.0,13.0,1764508_923341
Live Heats,117331,1764508,247054,1203243,13.0,13.0,,,True,0.0,0.0,13.0,1764508_1203243
Live Heats,117331,1764508,247054,923338,13.0,13.0,,,True,0.0,0.0,13.0,1764508_923338
Live Heats,117331,1764508,247054,923342,17.0,17.0,,,True,0.0,0.0,17.0,1764508_923342
Live Heats,117331,1883664,247055,1169635,1.0,1.0,,,True,0.0,0.0,1.0,1883664_1169635
Live Heats,117331,1883664,247055,923450,2.0,2.0,,,True,0.0,0.0,2.0,1883664_923450
Live Heats,117331,1883664,247055,1576025,3.0,3.0,,,True,0.0,0.0,3.0,1883664_1576025
Live Heats,117331,1883664,247055,844750,4.0,4.0,,,True,0.0,0.0,4.0,1883664_844750
Live Heats,117331,1883664,247055,1576322,5.0,5.0,,,True,0.0,0.0,5.0,1883664_1576322
Live Heats,117331,1883664,247055,923485,6.0,6.0,,,True,0.0,0.0,6.0,1883664_923485
Live Heats,117331,1883664,247055,775151,7.0,7.0,,,True,0.0,0.0,7.0,1883664_775151
Live Heats,117331,1883664,247055,1176481,7.0,7.0,,,True,0.0,0.0,7.0,1883664_1176481
Live Heats,117331,1883664,247055,1585991,9.0,9.0,,,True,0.0,0.0,9.0,1883664_1585991
Live Heats,117331,1883664,247055,1076613,9.0,9.0,,,True,0.0,0.0,9.0,1883664_1076613
Live Heats,117331,1883664,247055,1076612,9.0,9.0,,,True,0.0,0.0,9.0,1883664_1076612
Live Heats,117331,1883664,247055,923495,9.0,9.0,,,True,0.0,0.0,9.0,1883664_923495
Live Heats,117331,1883664,247055,1198581,13.0,13.0,,,True,0.0,0.0,13.0,1883664_1198581
Live Heats,117331,1883664,247055,1076615,13.0,13.0,,,True,0.0,0.0,13.0,1883664_1076615
Live Heats,117331,1883664,247055,1076618,13.0,13.0,,,True,0.0,0.0,13.0,1883664_1076618
Live Heats,117331,1883664,247055,923883,13.0,13.0,,,True,0.0,0.0,13.0,1883664_923883
Live Heats,117331,1883664,247055,1076619,17.0,17.0,,,True,0.0,0.0,17.0,1883664_1076619
Live Heats,117331,1883664,247055,1076620,17.0,17.0,,,True,0.0,0.0,17.0,1883664_1076620
Live Heats,117331,1764509,247056,923345,1.0,1.0,,,True,0.0,0.0,1.0,1764509_923345
Live Heats,117331,1764509,247056,923350,2.0,2.0,,,True,0.0,0.0,2.0,1764509_923350
Live Heats,117331,1764509,247056,1205039,3.0,3.0,,,True,0.0,0.0,3.0,1764509_1205039
Live Heats,117331,1764509,247056,923348,4.0,4.0,,,True,0.0,0.0,4.0,1764509_923348
Live Heats,117331,1764509,247056,923349,4.0,4.0,,,True,0.0,0.0,4.0,1764509_923349
Live Heats,117331,1764541,290080,1207521,1.0,1.0,,,True,0.0,0.0,1.0,1764541_1207521
Live Heats,117331,1764541,290080,923335,2.0,2.0,,,True,0.0,0.0,2.0,1764541_923335
Live Heats,117331,1764541,290080,1177773,3.0,3.0,,,True,0.0,0.0,3.0,1764541_1177773
Live Heats,117331,1764541,290080,1198918,4.0,4.0,,,True,0.0,0.0,4.0,1764541_1198918
Live Heats,117331,1764541,290080,923341,5.0,5.0,,,True,0.0,0.0,5.0,1764541_923341
Live Heats,117331,1883663,293776,937046,1.0,1.0,,,True,0.0,0.0,1.0,1883663_937046
Live Heats,117331,1883663,293776,937047,2.0,2.0,,,True,0.0,0.0,2.0,1883663_937047
Live Heats,117331,1883663,293776,1166082,3.0,3.0,,,True,0.0,0.0,3.0,1883663_1166082
Live Heats,117331,1883663,293776,937048,4.0,4.0,,,True,0.0,0.0,4.0,1883663_937048
Live Heats,117331,1883663,293776,937049,5.0,5.0,,,True,0.0,0.0,5.0,1883663_937049
Live Heats,117331,1883663,293776,937050,6.0,6.0,,,True,0.0,0.0,6.0,1883663_937050
Live Heats,117331,1883663,293776,1065416,7.0,7.0,,,True,0.0,0.0,7.0,1883663_1065416
Live Heats,117331,1883663,293776,1076610,7.0,7.0,,,True,0.0,0.0,7.0,1883663_1076610
Live Heats,117331,1883663,293776,1076611,7.0,7.0,,,True,0.0,0.0,7.0,1883663_1076611
Live Heats,117331,1883662,293777,1167311,1.0,1.0,,,True,0.0,0.0,1.0,1883662_1167311
Live Heats,117331,1883662,293777,937113,2.0,2.0,,,True,0.0,0.0,2.0,1883662_937113
Live Heats,117331,1883662,293777,923887,3.0,3.0,,,True,0.0,0.0,3.0,1883662_923887
Live Heats,117331,1883662,293777,923886,4.0,4.0,,,True,0.0,0.0,4.0,1883662_923886
Live Heats,117331,1883662,293777,923888,5.0,5.0,,,True,0.0,0.0,5.0,1883662_923888
Live Heats,117331,1883662,293777,937115,6.0,6.0,,,True,0.0,0.0,6.0,1883662_937115
Live Heats,117331,1883662,293777,1076608,7.0,7.0,,,True,0.0,0.0,7.0,1883662_1076608
Live Heats,117331,1883662,293777,1076609,7.0,7.0,,,True,0.0,0.0,7.0,1883662_1076609
Live Heats,117331,1883662,293777,1076607,7.0,7.0,,,True,0.0,0.0,7.0,1883662_1076607
Live Heats,117331,1773021,293809,815441,1.0,1.0,,,True,0.0,0.0,1.0,1773021_815441
Live Heats,117331,1773021,293809,937178,2.0,2.0,,,True,0.0,0.0,2.0,1773021_937178
Live Heats,117331,1773021,293809,937179,3.0,3.0,,,True,0.0,0.0,3.0,1773021_937179
Live Heats,72452,1720244,168196,818679,5.0,5.0,,,True,0.0,0.0,10.0,1720244_818679
Live Heats,72452,1720244,168196,818679,5.0,5.0,,,True,0.0,0.0,10.0,1720244_818679
Live Heats,72452,1720244,168196,1169635,5.0,5.0,,,True,0.0,0.0,10.0,1720244_1169635
Live Heats,72452,1720244,168196,1169635,5.0,5.0,,,True,0.0,0.0,10.0,1720244_1169635
Live Heats,72452,1720244,168196,814748,0.0,0.0,,,True,0.0,0.0,0.0,1720244_814748
Live Heats,72452,1720244,168196,814748,0.0,0.0,,,True,0.0,0.0,0.0,1720244_814748
Live Heats,72452,1720244,168196,814748,0.0,0.0,,,,0.0,0.0,0.0,1720244_814748
Live Heats,72452,1720244,168196,814748,0.0,0.0,,,,0.0,0.0,0.0,1720244_814748
Live Heats,72452,1720245,168196,843691,3.97,3.97,,,,0.0,0.0,12.7,1720245_843691
Live Heats,72452,1720245,168196,843691,3.6,3.6,,,,0.0,0.0,12.7,1720245_843691
Live Heats,72452,1720245,168196,843691,5.97,5.97,,,True,0.0,0.0,12.7,1720245_843691
Live Heats,72452,1720245,168196,843691,6.73,6.73,,,True,0.0,0.0,12.7,1720245_843691
Live Heats,72452,1720245,168196,843691,5.4,5.4,,,,0.0,0.0,12.7,1720245_843691
Live Heats,72452,1720245,168196,843691,2.0,2.0,,,,0.0,0.0,12.7,1720245_843691
Live Heats,72452,1720245,168196,845736,4.6,4.6,,,,0.0,0.0,11.03,1720245_845736
Live Heats,72452,1720245,168196,845736,5.23,5.23,,,True,0.0,0.0,11.03,1720245_845736
Live Heats,72452,1720245,168196,845736,5.8,5.8,,,True,0.0,0.0,11.03,1720245_845736
Live Heats,72452,1720245,168196,845736,4.07,4.07,,,,0.0,0.0,11.03,1720245_845736
Live Heats,72452,1720245,168196,527167,4.9,4.9,,,True,0.0,0.0,9.97,1720245_527167
Live Heats,72452,1720245,168196,527167,5.07,5.07,,,True,0.0,0.0,9.97,1720245_527167
Live Heats,72452,1720245,168196,818180,2.67,2.67,,,True,0.0,0.0,5.699999999999999,1720245_818180
Live Heats,72452,1720245,168196,818180,3.03,3.03,,,True,0.0,0.0,5.699999999999999,1720245_818180
Live Heats,72452,1720245,168196,818180,1.4,1.4,,,,0.0,0.0,5.699999999999999,1720245_818180
Live Heats,72452,1720246,168196,847319,6.27,6.27,,,True,0.0,0.0,12.07,1720246_847319
Live Heats,72452,1720246,168196,847319,5.27,5.27,,,,0.0,0.0,12.07,1720246_847319
Live Heats,72452,1720246,168196,847319,5.8,5.8,,,True,0.0,0.0,12.07,1720246_847319
