source,event_id,eventDivisionId,athleteId,place
Live Heats,117331,293776,1076610,7
Live Heats,117331,293776,1076611,7
Live Heats,117331,293777,1167311,1
Live Heats,117331,293777,937113,2
Live Heats,117331,293777,923887,3
Live Heats,117331,293777,923886,4
Live Heats,117331,293777,923888,5
Live Heats,117331,293777,937115,6
Live Heats,117331,293777,1076608,7
Live Heats,117331,293777,1076609,7
Live Heats,117331,293777,1076607,7
Live Heats,117331,293809,815441,1
Live Heats,117331,293809,937178,2
Live Heats,117331,293809,937179,3
Live Heats,72452,168196,817949,1
Live Heats,72452,168196,845736,2
Live Heats,72452,168196,818279,3
Live Heats,72452,168196,817916,4
Live Heats,72452,168196,818679,5
Live Heats,72452,168196,1334796,5
Live Heats,72452,168196,817982,7
Live Heats,72452,168196,822932,7
Live Heats,72452,168196,843691,9
Live Heats,72452,168196,1165941,9
Live Heats,72452,168196,837486,9
Live Heats,72452,168196,819666,9
Live Heats,72452,168196,1169635,13
Live Heats,72452,168196,847319,13
Live Heats,72452,168196,843557,13
Live Heats,72452,168196,835109,13
Live Heats,72452,168196,814748,17
Live Heats,72452,168196,527167,17
Live Heats,72452,168196,820094,17
Live Heats,72452,168196,1578513,17
Live Heats,72452,168196,830753,17
Live Heats,72452,168196,834611,17
Live Heats,72452,168196,527155,17
Live Heats,72452,168196,1200826,17
Live Heats,72452,168196,818180,25
Live Heats,72452,168196,838673,25
Live Heats,72452,168196,856823,25
Live Heats,72452,168196,830095,25
Live Heats,72452,168196,844750,25
Live Heats,72452,168196,842633,25
Live Heats,72452,168197,815310,1
Live Heats,72452,168197,820127,2
Live Heats,72452,168197,820028,3
Live Heats,72452,168197,529331,4
Live Heats,72452,168197,815441,5
Live Heats,72452,168197,820787,5
Live Heats,72452,168197,1589294,7
Live Heats,147528,290163,1169635,1
Live Heats,147528,290163,1576025,2
Live Heats,147528,290163,1396558,3
Live Heats,147528,290163,923883,4
Live Heats,147528,290163,923485,5
Live Heats,147528,290163,923882,6
Live Heats,147528,290163,1198581,7
Live Heats,147528,290163,1065219,7
Live Heats,147528,290163,30676,9
Live Heats,147528,290163,776006,9
Live Heats,147528,290163,1576322,9
Live Heats,147528,290164,815441,1
Live Heats,147528,290164,1069735,2
Live Heats,147528,290164,1069737,3
Live Heats,147528,290164,1069739,4
Live Heats,147528,290164,1069736,5
Live Heats,147528,290164,1069738,5
Live Heats,147528,290165,937046,1
Live Heats,147528,290165,1398810,2
Live Heats,147528,290165,1166082,3
Live Heats,147528,290165,937050,4
Live Heats,147528,290165,937047,5
Live Heats,147528,290165,1065416,6
Live Heats,147528,290167,1069707,1
Live Heats,147528,290167,1069708,2
Live Heats,147528,290167,1069709,3
Live Heats,147528,290167,1069710,4
Live Heats,147528,332984,923887,1
Live Heats,147528,332984,923886,2
Live Heats,147528,332984,937113,3
Live Heats,147528,332984,923888,4
Live Heats,220586,408814,817916,1
Live Heats,220586,408814,844750,2
Live Heats,220586,408814,835109,3
Live Heats,220586,408814,1166082,4
Live Heats,220586,408814,1166133,5
Live Heats,220586,408814,1176483,5
Live Heats,220586,408814,1171678,5
Live Heats,220586,408814,532107,5
Live Heats,220586,408814,1181562,9
Live Heats,220586,408814,1183815,9
Live Heats,220586,408814,1182249,9
Live Heats,220586,408814,1210022,9
Live Heats,220586,408814,576097,9
Live Heats,220586,408814,1168151,9
Live Heats,220586,408814,1168159,9
Live Heats,220586,408814,1170311,9
Live Heats,220586,408814,1167311,17
Live Heats,220586,408814,1171845,17
Live Heats,220586,408814,1210024,17
Live Heats,220586,408814,1170707,17
Live Heats,220586,408814,1168576,17
Live Heats,220586,408815,1167179,1
Live Heats,220586,408815,576093,2
Live Heats,220586,408815,1171423,3
Live Heats,220586,408815,1166237,4
Live Heats,220586,408815,1170331,5
Live Heats,220586,408815,1165931,5
Live Heats,164717,315939,1017451,1
Live Heats,164717,315939,1205039,2
Live Heats,164717,315939,1205619,3
Live Heats,164717,315939,1385584,4
Live Heats,164717,315939,1219525,5
Live Heats,164717,315939,1213120,5
Live Heats,164717,315939,1222638,7
Live Heats,164717,315939,1214818,7
Live Heats,164717,315939,1208568,9
Live Heats,164717,315939,1606324,9
Live Heats,164717,315939,1207245,9
Live Heats,164717,315939,791455,9
Live Heats,164717,315939,1200984,13
Live Heats,164717,315939,1206570,13
Live Heats,164717,315939,1017459,13
Live Heats,164717,315939,566406,13
Live Heats,164717,315939,566400,17
Live Heats,164717,315939,1206563,17
Live Heats,164717,315939,1017461,17
Live Heats,164717,315939,1600743,17
Live Heats,164717,315939,1221689,19
Live Heats,164717,315939,1017463,19
Live Heats,164717,315939,1206491,19
Live Heats,164717,315939,1017464,19
Live Heats,164717,315939,1206435,23
Live Heats,187568,353314,1277945,1
Live Heats,187568,353314,1277965,2
Live Heats,187568,353314,1277966,3
Live Heats,187568,353314,1277967,4
Live Heats,187555,353252,1195123,1
Live Heats,187555,353253,776672,1
Live Heats,187555,353253,776671,1
Live Heats,187555,353253,776670,1
Live Heats,187555,353253,776633,1
Live Heats,187555,353253,776681,5
Live Heats,187555,353253,1195125,5
Live Heats,187555,353253,776666,5
Live Heats,187555,353253,776678,5
Live Heats,187556,353257,1195100,1
Live Heats,187556,353258,936061,1
Live Heats,187556,353259,1337275,1
Live Heats,187556,353259,1195095,2
Live Heats,187556,353259,1195101,3
Live Heats,187556,353259,791714,4
Live Heats,187556,353259,1195102,5
Live Heats,187556,353259,791455,6
Live Heats,187578,353358,1122419,1
Live Heats,187578,353358,1122421,2
Live Heats,187578,353358,1198522,3
Live Heats,187578,353358,1122420,4
Live Heats,187578,353358,1122422,5
Live Heats,187578,353358,1122424,6
Live Heats,187578,353358,1113092,7
Live Heats,187578,353358,1399571,8
Live Heats,187578,353358,1122423,9
Live Heats,187578,353358,1122426,10
Live Heats,187578,353358,1399572,11
Live Heats,187578,353358,1399573,12
Live Heats,187578,353358,1399574,13
Live Heats,187578,353358,1393372,14
Live Heats,187578,353358,1399579,15
Live Heats,187578,353358,1399580,16
Live Heats,187578,353358,1399581,17
Live Heats,187578,353358,1122469,18
Live Heats,187578,353358,1399582,19
Live Heats,187578,353358,1399583,20
Live Heats,187578,353358,1399584,21
Live Heats,187578,353359,1573703,1
Live Heats,187578,353359,1122460,2
Live Heats,187578,353359,1399577,3
Live Heats,187578,353361,1399585,1
Live Heats,187578,353361,1122474,2
Live Heats,187578,353361,1122481,3
Live Heats,187578,353361,1122475,4
Live Heats,187578,353361,1399586,5
Live Heats,187578,353361,1399587,6
Live Heats,187578,353361,1399588,7
Live Heats,187578,353361,1399590,8
Live Heats,187578,353361,1122477,9
Live Heats,187578,353361,1122482,10
Live Heats,187578,353361,1399591,11
Live Heats,187578,353361,1399592,12
Live Heats,187558,353267,174196,1
Live Heats,187558,353267,936090,2
Live Heats,187558,353267,776171,3
Live Heats,187558,353267,936092,4
Live Heats,187558,353267,936103,5
Live Heats,187558,353267,936093,5
Live Heats,187558,353268,30676,1
Live Heats,187558,353268,776008,2
Live Heats,187558,353268,936095,3
Live Heats,187558,353268,936098,4
Live Heats,187558,353268,776009,5
Live Heats,187558,353268,1176462,5
Live Heats,187558,353268,776173,7
Live Heats,187558,353268,1176463,8
Live Heats,187558,353271,936103,1
Live Heats,187558,353271,1176465,2
Live Heats,187558,353271,1176467,3
Live Heats,187558,353272,776011,1
Live Heats,187558,353272,776020,2
Live Heats,187558,353272,1525251,3
Live Heats,187558,353272,1176472,4
Live Heats,187558,353272,1176473,5
Live Heats,187558,353273,776011,1
Live Heats,187558,353273,1525251,2
Live Heats,187558,353273,776012,3
Live Heats,187558,353273,1176468,4
Live Heats,187558,353273,776017,5
Live Heats,187558,353273,1176470,6
Live Heats,187558,353273,776014,7
Live Heats,187558,353273,1176471,8
Live Heats,187558,388585,174196,1
Live Heats,187558,388585,936090,2
Live Heats,187558,388585,776171,3
Live Heats,187558,388586,776006,1
Live Heats,187558,388586,30676,2
Live Heats,187558,388586,1065219,3
Live Heats,187558,388586,151806,4
Live Heats,187558,388586,776008,5
Live Heats,187558,388586,936061,5
Live Heats,187558,388586,1050467,7
Live Heats,187558,388586,936095,8
Live Heats,187558,388586,1170963,9
Live Heats,249495,441634,775115,1
Live Heats,249495,441634,1277939,2
Live Heats,249495,441634,1277940,3
Live Heats,187564,353299,820127,1
Live Heats,187564,353299,1210135,2
Live Heats,187564,353299,1207521,3
Live Heats,187564,353299,1177773,4
Live Heats,187564,353299,815441,5
Live Heats,187564,353299,1205855,5
Live Heats,187564,353299,923339,7
Live Heats,187564,353299,1198918,8
Live Heats,187564,353299,1322552,9
Live Heats,187564,353299,1198791,10
Live Heats,187564,353299,937178,11
Live Heats,187564,353299,1203243,12
Live Heats,187564,353299,1322553,13
Live Heats,187564,353299,923342,13
Live Heats,187564,353299,1322554,15
Live Heats,187564,353299,1322555,15
Live Heats,187564,353299,1205034,17
Live Heats,187564,353299,923338,17
Live Heats,187564,353299,1202115,17
Live Heats,187564,353299,1409639,17
Live Heats,187564,353300,1171826,1
Live Heats,187564,353300,1200826,2
Live Heats,187564,353300,814748,3
Live Heats,187564,353300,1200379,4
Live Heats,187564,353300,1169635,5
Live Heats,187564,353300,818279,5
Live Heats,187564,353300,845736,7
Live Heats,187564,353300,1198339,8
Live Heats,187564,353300,527155,9
Live Heats,187564,353300,820094,10
Live Heats,187564,353300,1411927,11
Live Heats,187564,353300,1200835,12
Live Heats,187564,353300,923450,13
Live Heats,187564,353300,817916,13
Live Heats,187564,353300,1334796,15
Live Heats,187564,353300,937046,15
Live Heats,187564,353300,923485,17
Live Heats,187564,353300,835109,17
Live Heats,187564,353300,818679,17
Live Heats,187564,353300,530552,17
Live Heats,187564,353300,837486,21
Live Heats,187564,353300,1408086,21
Live Heats,187564,353300,1169354,21
Live Heats,187564,353300,817982,21
Live Heats,187564,353300,1585991,25
Live Heats,187564,353300,923487,25
Live Heats,187564,353300,1392368,25
Live Heats,187564,353300,1165941,25
Live Heats,187564,353300,819666,29
Live Heats,187564,353300,1202030,29
Live Heats,187564,353300,1322590,29
Live Heats,187564,353300,1169471,29
Live Heats,187564,353300,844750,33
Live Heats,187564,353300,530553,33
Live Heats,187564,353300,923494,33
Live Heats,187564,353300,530548,33
Live Heats,187564,353300,1576025,33
Live Heats,187564,353300,775151,33
Live Heats,187564,353300,923493,33
Live Heats,187564,353300,1576322,33
Live Heats,187564,353300,1198581,41
Live Heats,187564,353300,1166082,41
Live Heats,187564,353300,1396558,41
Live Heats,187564,353300,1163257,41
Live Heats,187564,353300,1203723,41
Live Heats,187564,353300,1198522,41
Live Heats,187564,353300,1076613,41
Live Heats,187564,353300,1322591,41
Live Heats,187564,353301,923345,1
Live Heats,187564,353301,1205039,2
Live Heats,187564,353301,1322560,3
Live Heats,187564,353301,1322561,4
Live Heats,187564,353301,1122481,5
Live Heats,187564,353301,1322562,5
Live Heats,187564,353301,1602528,7
Live Heats,187564,353301,1322565,7
Live Heats,187564,353301,1322564,7
Live Heats,187564,353301,1322567,10
Live Heats,187564,353302,815441,1
Live Heats,187564,353302,937178,2
Live Heats,187564,353302,937179,3
Live Heats,187564,353302,1069737,3
Live Heats,187564,353303,937046,1
Live Heats,187564,353303,1398810,2
Live Heats,187564,353303,1166082,3
Live Heats,187564,353303,937047,4
Live Heats,187564,353303,1065416,5
Live Heats,187564,353303,937113,5
Live Heats,187564,353303,1076611,7
Live Heats,187564,353303,1169643,7
Live Heats,187564,353303,937049,9
Live Heats,187564,353303,937050,10
Live Heats,187564,353303,937048,11
Live Heats,187564,353303,923887,12
Live Heats,187564,353303,923888,13
Live Heats,187564,454486,1207521,1
Live Heats,187564,454486,1177773,2
Live Heats,187564,454486,1198918,3
Live Heats,187564,454487,1169635,1
Live Heats,187564,454487,923450,2
Live Heats,187564,454487,1585991,3
Live Heats,187564,454487,923485,4
Live Heats,187564,454487,1576025,5
Live Heats,187564,454487,1576322,5
Live Heats,187564,454487,1076612,7
Live Heats,187564,454487,1396558,7
Live Heats,187564,454487,844750,9
Live Heats,187564,454487,775151,10
Live Heats,187564,454487,923883,11
Live Heats,187564,454487,1176481,12
Live Heats,187564,454487,1198581,13
Live Heats,187564,454487,1076613,13
Live Heats,187564,454487,1076615,15
Live Heats,187564,454487,923904,15
Live Heats,187564,454487,1396577,17
Live Heats,270680,471646,1337275,1
Live Heats,270680,471646,1306332,2
Live Heats,270680,471646,1205557,3
Live Heats,270680,471646,1206567,4
Live Heats,270680,471646,1199509,5
Live Heats,270680,471646,1589294,5
Live Heats,270680,471646,1324930,7
Live Heats,270680,471646,1206477,7
Live Heats,270680,471646,1329185,9
Live Heats,270680,471646,1417289,9
Live Heats,270680,471648,174196,1
Live Heats,270680,471648,1338689,2
Live Heats,270680,471648,1206272,3
Live Heats,270680,471650,174196,1
Live Heats,270680,471650,1338689,2
Live Heats,270680,471650,1338877,3
Live Heats,270680,471650,1206272,4
Live Heats,270680,471650,1338967,5
Live Heats,270680,471656,1324930,1
Live Heats,270680,471656,1199509,2
Live Heats,270680,471656,1202340,3
Live Heats,270680,471656,1338689,4
Live Heats,270680,471656,1417289,5
Live Heats,270680,471656,1350173,6
Live Heats,270680,471656,1338877,7
Live Heats,270680,471656,999813,7
Live Heats,270680,471656,1338967,9
Live Heats,270680,471656,1350111,9
Live Heats,270680,471657,1329185,1
Live Heats,270680,471657,1347244,2
Live Heats,270680,471657,1206477,3
Live Heats,270680,471657,566400,4
Live Heats,285332,492502,817949,1
Live Heats,285332,492502,1122386,2
Live Heats,285332,492502,566301,3
Live Heats,285332,492502,1050508,4
Live Heats,285332,492502,1122389,5
Live Heats,285332,492502,1122390,6
Live Heats,285332,492502,1122412,7
Live Heats,285332,492502,1488181,7
Live Heats,285332,492502,1122388,9
Live Heats,285332,492503,1122416,1
Live Heats,285332,492503,1122415,2
Live Heats,285332,492503,1488177,3
Live Heats,285332,492503,1122417,4
Live Heats,285332,492503,1488180,5
Live Heats,285332,492503,1488179,5
Live Heats,285332,492503,1488178,5
Live Heats,147529,290168,1198522,1
Live Heats,147529,290168,1200835,2
Live Heats,147529,290168,1122419,3
Live Heats,147529,290168,1122420,4
Live Heats,147529,290168,1122421,5
Live Heats,147529,290168,1122422,6
Live Heats,147529,290168,1122424,7
Live Heats,147529,290168,1122423,7
Live Heats,147529,290168,1113092,9
Live Heats,147529,290168,1122426,9
Live Heats,147529,290168,1122425,9
Live Heats,147529,290168,1122427,12
Live Heats,147529,290168,1122429,13
Live Heats,147529,290168,1122428,13
Live Heats,147529,290168,1122431,15
Live Heats,147529,290168,1122432,16
Live Heats,147529,290168,1122433,17
Live Heats,147529,290168,1122434,18
Live Heats,147529,290168,1122436,19
Live Heats,147529,290168,1122437,20
Live Heats,147529,290168,1122438,21
Live Heats,147529,290168,1122439,22
Live Heats,147529,290168,1122442,23
Live Heats,147529,290168,1122441,23
Live Heats,147529,290168,1122456,25
Live Heats,147529,290168,1122454,25
Live Heats,147529,290168,1122458,27
Live Heats,147529,290168,1122457,27
Live Heats,147529,290169,1122460,1
Live Heats,147529,290169,1122461,2
Live Heats,147529,290169,1122462,3
Live Heats,147529,290169,1573703,4
Live Heats,147529,290169,1122464,5
Live Heats,147529,290170,1122465,1
Live Heats,147529,290170,1122466,2
Live Heats,147529,290170,1122467,3
Live Heats,147529,290170,1122468,4
Live Heats,147529,290170,1122469,5
Live Heats,147529,290170,1122470,6
Live Heats,147529,290170,1122471,7
Live Heats,147529,290170,1122472,8
Live Heats,147529,290170,1122473,9
Live Heats,147529,290171,1122474,1
Live Heats,147529,290171,1122475,2
Live Heats,147529,290171,1122476,3
Live Heats,147529,290171,1122477,4
Live Heats,147529,290171,1122479,5
Live Heats,147529,290171,1122480,6
Live Heats,147529,290171,1122481,7
Live Heats,147529,290171,1122482,8
Live Heats,147529,290171,1122484,9
Live Heats,147529,290171,1122483,9
Live Heats,147529,290171,1122485,11
Live Heats,147529,290171,1122486,12
Live Heats,147529,290171,1122488,13
Live Heats,147529,290171,1122487,13
Live Heats,181652,343314,1334796,1
Live Heats,181652,343314,843691,2
Live Heats,181652,343314,527155,3
Live Heats,181652,343314,1205611,4
Live Heats,181652,343314,1165941,5
Live Heats,181652,343314,1076658,6
Live Heats,181652,343314,845736,7
Live Heats,181652,343314,822932,8
Live Heats,181652,343314,843557,9
Live Heats,181652,343314,835109,9
Live Heats,181652,343314,1076659,11
Live Heats,181652,343314,1169354,11
Live Heats,181652,343314,818279,13
Live Heats,181652,343314,819666,13
Live Heats,181652,343314,1171826,15
Live Heats,181652,343314,1408086,15
Live Heats,181652,343314,1578513,17
Live Heats,181652,343314,820094,17
Live Heats,181652,343314,844750,17
Live Heats,181652,343314,1169471,17
Live Heats,181652,343314,837486,21
Live Heats,181652,343314,1409162,21
Live Heats,181652,343314,818679,21
Live Heats,181652,343314,530552,21
Live Heats,181652,343314,1169635,25
Live Heats,181652,343314,817916,25
Live Heats,181652,343314,1166233,25
Live Heats,181652,343314,527167,25
Live Heats,181652,343314,1200826,29
Live Heats,181652,343314,1200379,29
Live Heats,181652,343314,817982,29
Live Heats,181652,343314,530553,29
Live Heats,181652,343315,820127,1
Live Heats,181652,343315,820028,2
Live Heats,181652,343315,815310,3
Live Heats,181652,343315,1203243,4
Live Heats,181652,343315,1076672,5
Live Heats,181652,343315,529366,6
Live Heats,181652,343315,820787,7
Live Heats,181652,343315,529331,8
Live Heats,181652,343315,1210135,9
Live Heats,181652,343315,1589294,9
Live Heats,181652,343315,1198918,11
Live Heats,181652,343315,1076669,11
Live Heats,181652,343315,1198791,13
Live Heats,181652,343315,815441,13
Live Heats,181652,343315,923338,15
Live Heats,181652,343315,903847,15
Live Heats,181652,343317,1084037,1
Live Heats,181652,343317,1076677,2
Live Heats,181652,343317,1076681,3
Live Heats,181652,343317,1199509,4
Live Heats,181652,343317,842633,5
Live Heats,181652,343317,1076683,6
Live Heats,181652,343317,1301829,7
Live Heats,181652,343317,813428,8
Live Heats,181652,343317,1205039,8
Live Heats,181652,343317,1088557,8
Live Heats,181652,343317,1076676,8
Live Heats,181652,343317,1205557,12
Live Heats,181652,343317,1086827,12
Live Heats,181652,343317,1164252,12
Live Heats,181652,343317,1076680,12
Live Heats,181652,343317,791455,16
Live Heats,181652,343317,1087577,16
Live Heats,181652,343317,1076678,16
Live Heats,181652,343317,1087575,16
Live Heats,181652,343317,1087576,20
Live Heats,147592,290222,791485,1
Live Heats,147592,290222,1111080,2
Live Heats,147592,290222,1050269,3
Live Heats,147592,290222,1337275,4
Live Heats,147592,290222,923859,5
Live Heats,147592,290222,1176365,5
Live Heats,147592,290222,791484,7
Live Heats,147592,290222,936059,7
Live Heats,147592,290225,791455,1
Live Heats,147592,290225,1337275,2
Live Heats,147592,290225,936059,3
Live Heats,147592,290225,1176365,4
Live Heats,147592,290225,1176369,5
Live Heats,147592,290225,791714,5
Live Heats,147592,290225,923857,7
Live Heats,147592,290225,1176372,7
Live Heats,147592,290226,923859,1
Live Heats,147592,290226,1176365,2
Live Heats,147592,290226,936063,3
Live Heats,147592,290226,1176372,4
Live Heats,147592,290226,1176367,5
Live Heats,147592,290226,1176369,5
Live Heats,147592,290226,1176368,7
Live Heats,187570,353317,1198522,1
Live Heats,187570,353317,1122422,2
Live Heats,187570,353317,1122419,3
Live Heats,187570,353317,1122421,4
Live Heats,187570,353317,1122424,5
Live Heats,187570,353317,923883,6
Live Heats,187570,353317,1198353,7
Live Heats,187570,353317,1113088,7
Live Heats,187570,353317,1122420,9
Live Heats,187570,353317,1122423,9
Live Heats,187570,353317,151806,11
Live Heats,187570,353317,1122426,11
Live Heats,187570,353317,1113092,13
Live Heats,187570,353317,1122429,13
Live Heats,187570,353317,1304753,15
Live Heats,187570,353317,1597970,15
Live Heats,187570,353317,1399573,17
Live Heats,187570,353317,1122434,17
Live Heats,187570,353317,1122427,19
Live Heats,187570,353317,1399574,23
Live Heats,187570,353317,1399572,23
Live Heats,187570,353317,1399571,23
Live Heats,187570,353317,1399579,24
Live Heats,187570,353317,1122431,25
Live Heats,187570,353317,1598003,26
Live Heats,187570,353317,1543664,27
Live Heats,187570,353317,1122442,28
Live Heats,187570,353317,1598004,29
Live Heats,187570,353317,1598005,30
Live Heats,187570,353317,1543653,31
Live Heats,187570,353317,1598008,32
Live Heats,187570,353317,1598007,32
Live Heats,187570,353317,1122457,32
Live Heats,187570,353317,1598009,35
Live Heats,187570,353317,1598010,36
Live Heats,187570,353317,1393372,37
Live Heats,187570,353317,1399581,37
Live Heats,187570,353317,1122469,37
Live Heats,187570,353317,1399583,37
Live Heats,187570,353317,1399584,37
Live Heats,187570,353318,1573703,1
Live Heats,187570,353318,1122460,2
Live Heats,187570,353318,1122464,3
Live Heats,187570,353318,1488137,4
Live Heats,187570,353318,1543675,5
Live Heats,187570,353318,1399577,7
Live Heats,187570,353319,1122465,1
Live Heats,187570,353319,1488138,2
Live Heats,187570,353319,1122466,3
Live Heats,187570,353319,1122471,4
Live Heats,187570,353319,1598046,5
Live Heats,187570,353319,1598047,6
Live Heats,187570,353319,1122468,7
Live Heats,187570,353319,1598048,7
Live Heats,187570,353320,1122481,1
Live Heats,187570,353320,1122475,2
Live Heats,187570,353320,1304754,3
Live Heats,187570,353320,1399591,4
Live Heats,187570,353320,1399585,5
Live Heats,187570,353320,1122480,6
Live Heats,187570,353320,1122479,7
Live Heats,187570,353320,1122477,8
Live Heats,187570,353320,1543648,9
Live Heats,187570,353320,1598036,9
