source,event_id,heat_id,eventDivisionId,athleteId,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points
Live Heats,147526,1764576,290156,923899,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,147526,1764576,290156,923884,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,147526,1764576,290156,923898,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,147526,1764576,290156,923897,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,147526,1764576,290156,923896,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,147526,1764576,290156,923895,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,147526,1764576,290156,923910,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923908,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923911,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923907,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923906,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923905,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923909,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,1349792,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923883,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923902,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923882,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923901,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923887,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764576,290156,923904,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,147526,1764573,290158,1576025,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,147526,1764573,290158,1576322,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,147526,1764573,290158,923882,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,147526,1764573,290158,923883,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,147526,1764573,290158,923888,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,147526,1764573,290158,923886,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,147526,1764573,290158,923887,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,147526,1764573,290158,923884,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,147526,1764573,290158,923889,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,164024,1832292,315787,1202340,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,164024,1832292,315787,1205619,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,164024,1832292,315787,1199509,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,164024,1832292,315787,791485,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,164024,1832292,315787,999815,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,164024,1832292,315787,1206477,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,164024,1832292,315787,999813,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,164024,1832292,315787,999817,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,164024,1832292,315787,791455,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,164024,1832292,315787,1197966,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,164024,1832292,315787,1000711,11.0,11.0,,,True,0.0,0.0,11.0
Live Heats,164024,1832292,315787,1557058,11.0,11.0,,,True,0.0,0.0,11.0
Live Heats,164024,1832292,315787,566400,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,72489,1654254,168257,776105,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,72489,1654254,168257,776106,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,72489,1654254,168257,776107,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,72489,1654254,168257,776138,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,72489,1654254,168257,776139,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,72489,1654254,168257,776140,6.0,6.0,,,True,0.0,0.0,6.0
Live Heats,72489,1654287,168258,1589294,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,72489,1654287,168258,776171,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,72489,1654288,168259,30676,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,72489,1654288,168259,776006,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,72489,1654288,168259,776172,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,72489,1654288,168259,776173,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,72489,1654288,168259,776171,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,72489,1654289,168260,776174,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,72489,1654289,168260,776175,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,72489,1654289,168260,1306332,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,72489,1654289,168260,776177,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,72489,1654289,168260,776178,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,117331,1764542,247053,527155,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,117331,1764542,247053,1171826,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,117331,1764542,247053,822932,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,117331,1764542,247053,845736,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,117331,1764542,247053,814748,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,117331,1764542,247053,837486,6.0,6.0,,,True,0.0,0.0,6.0
Live Heats,117331,1764542,247053,1198339,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1764542,247053,923487,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1764542,247053,820094,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1764542,247053,1334796,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1764542,247053,530552,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1764542,247053,1578513,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1764542,247053,818279,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1764542,247053,819666,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1764542,247053,1169354,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1764542,247053,1411927,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1764542,247053,818679,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764542,247053,843557,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764542,247053,1169635,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764542,247053,1200379,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764542,247053,1408086,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764542,247053,1409162,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764542,247053,1200835,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764542,247053,1200826,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764542,247053,817916,25.0,25.0,,,True,0.0,0.0,25.0
Live Heats,117331,1764542,247053,835109,25.0,25.0,,,True,0.0,0.0,25.0
Live Heats,117331,1764542,247053,1165941,25.0,25.0,,,True,0.0,0.0,25.0
Live Heats,117331,1764542,247053,844750,25.0,25.0,,,True,0.0,0.0,25.0
Live Heats,117331,1764542,247053,1392368,25.0,25.0,,,True,0.0,0.0,25.0
Live Heats,117331,1764542,247053,530553,25.0,25.0,,,True,0.0,0.0,25.0
Live Heats,117331,1764542,247053,923493,25.0,25.0,,,True,0.0,0.0,25.0
Live Heats,117331,1764542,247053,923492,25.0,25.0,,,True,0.0,0.0,25.0
Live Heats,117331,1764542,247053,923494,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,1169471,33.0,33.0,,,True,0.0,0.0,33.0
