name,age,nationality,sail_no,pwa_url,current_sponsors,pwa_yob
Steven Van Broeckhoven,39.0,Belgian ,B-72,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1010&cHash=f189b71c3f3dc7d85447273ab5289a1c,"Starboard, GUNSAILS, iFins Inter., O'Neill, Agrityre, Shamal Sunglasses, Starboard Foil",1986.0
Tim van Dam Sanchidrian,25.0,Spanish ,E-510,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1683&cHash=1f77ace70152e87417144528368799ed,Bruch Boards,2000.0
Bob van de Burgt,23.0,Dutch ,NED-737,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2006&cHash=a2f8c32ef78879c4f307665694580d93,"FMX Racing, S2Maui, Finish Fins, Prolimit, Air Up",2002.0
Thom van de Sande,27.0,Dutch ,NED-184,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1750&cHash=e5e967d05578d85d966daa6dbcc29823,"RRD, Severne Windsurfing",1998.0
Thomas van den Heuvel,30.0,Dutch ,NED-246,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1998&cHash=0fccbc881777fd8b2b03355c9f17875d,"FMX Racing, S2Maui, TWS, Systematic Vacuum",1995.0
Dieter Van der Eyken,33.0,Belgian ,B-35,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1153&cHash=aa6b689ff4335abfc2abd2e022b166e3,"Severne Windsurfing, Severne Windsurfing, Continent Seven, Black Project Fins, Brunotti Sportswear",1992.0
Hidde van der Meer,20.0,Dutch ,NED-352,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2193&cHash=f691617953aeec17ddc1541f6138f0bc,"Patrik Boards, Patrik Sails",2005.0
Ben Van Der Steen,45.0,Dutch ,NED-57,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=39&cHash=84072278042d0d1fe1e5bb0a652403b5,"Goya Windsurfing, Loftsails, Brunotti Sportswear, Sonntag-fins",1980.0
Jelle van der Veen,22.0,Dutch ,NED-225,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2197&cHash=d131d1d9e00ea752c40823694cb73c55,"Starboard, Severne Windsurfing",2003.0
Femke van der Veen,24.0,Dutch ,NED-2251,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1994&cHash=a9c5804dba0ef24b872128db6b330c5f,"Starboard, Severne Windsurfing, Surf Center",2001.0
Robin Van Linden,24.0,Dutch ,H-102,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2126&cHash=ce2b4ed0a1571f65f523f0d809b566dc,,2001.0
Martijn Van Noord,,Dutch ,NED-703,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1973&cHash=5afe63a7dcd8cfd3e886491517f2a451,"Future Fly Boards, Challenger Sails",
Maarten van Ochten,38.0,Dutch ,H-73,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1005&cHash=b47f01ef7e6e0a9f3b33489943d93bb9,"JP, NeilPryde, Axis Physiotherapy, The TANIS GROUP, NP",1987.0
Luuc Van Opzeeland,,Dutch ,NED-55,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1837&cHash=9f2b112f8f9a7a60db6aec5cc8718fb0,"Severne Windsurfing, Severne Windsurfing",
Dorian van Rijsselberghe,,Dutch ,NED-8,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=886&cHash=c031efc6d84ede08ca88f0565d2906d0,"Future Fly Boards, Waddenproducten, Kater Funsports, Phantom Foils",
Adriaan van Rijsselberghe,40.0,Dutch ,NED-2,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=496&cHash=9fccc13f412cf76a6b0685d8400a33c0,"Fanatic, Avanti Sails, Kater Funsports, Sonntag-fins, Waddenproducten, Brunotti Sportswear",1985.0
Karo Van Tonder,35.0,South African ,SA-89,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2073&cHash=90eafabb0b714af2bcfae2c817bfcffb,"AV Boards, Severne Windsurfing, Gasoil Fins, Siroccon, Nashau, Helios",1990.0
Andrea Vanhoorne,30.0,Belgian ,BEL-26,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1533&cHash=f7f8b6522cdfa85a93140d0d13ae8c4a,"Patrik Boards, Loftsails, Sonntag-fins",1995.0
Tomer Vardimon,,Israeli ,ISR-30,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1959&cHash=f7b0bd66269f246574a35eba41822c4e,Future Fly Boards,
Serdar Varol,45.0,Turkish ,TUR-477,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1515&cHash=2de050905b7fec93260d41bd53eeb437,IDDAA,1980.0
Cyril Vedrinelle,23.0,French ,FRA-1090,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1991&cHash=ec5659a23fc55760db276b6c952bb7cd,X.O Sails,2002.0
Julien Ventalon,40.0,Australian ,AUS-071,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1548&cHash=c26369ca77caab26f3819d742339cdfd,"Starboard, Severne Windsurfing",1985.0
Jorge Manuel Vera García,38.0,Spanish ,E-173,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=363&cHash=73982775faf671435f96f85275720163,,1987.0
Tom Verhof,26.0,Dutch ,NED-198,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2177&cHash=1055c3714e85628becf0cf644a4a0416,"Naish Boards, Naish Sails, Prolimit",1999.0
Twan Verseput,31.0,Dutch ,NED-127,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1698&cHash=0924a8594c65e257c6fb3902b3959bb3,"Starboard, Severne Windsurfing, Sonntag-fins",1994.0
Stojan Vidakovic,,Slovenian ,SLO-5,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1950&cHash=83a717ce05ad2d36c7fb2b59af415c0c,Starboard,
Christophe Vignes,49.0,French ,NC-106,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1561&cHash=2b5621e584e2d3520b6fc7ce848a8d0a,"Le Grand Bleu, Bic Sport, Pepsi",1976.0
Brigita Viilop,36.0,Estonian ,EST-217,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1905&cHash=0b5e14ee09d18f624182d817f2b676e8,,1989.0
Marco Vinante,34.0,Italian ,I-205,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1603&cHash=f2c871fc009a0037c59a9882751f6b69,"Starboard, Point-7, AL360",1991.0
Noah Vinther,21.0,Danish ,DEN-7777,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2079&cHash=25a415bec81cc3812009381a1279160c,"Patrik Boards, Patrik Sails, Ocean Textile, Entreprenørfirmaet Steen Hansen, Patrik Foils",2004.0
Noah Vocker,25.0,German ,F-210,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1673&cHash=7f5ed2b9390bed8dd206c76e1a1fc03b,"Fanatic, Duotone, Maui Ultra Fins, ION",2000.0
Klaas Voget,45.0,German ,G-4,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=49&cHash=8cf695a873759fe7a74e92895a87bd0f,"Fanatic, Duotone, ION, Chiemsee, Mercedes-Benz",1980.0
Felix Volkhardt,,German ,G-131,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1995&cHash=35fffeec4dbf43c612a0ec72e97dba89,,
Jordy Vonk,31.0,Dutch ,NED-69,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1407&cHash=35d8b9940cf884669aaf33a8cda545a2,"Duotone, TWS, ION",1994.0
Amado Vrieswijk,29.0,Dutch ,NB-20,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1262&cHash=a2ff188bbf6f8aa4ee772b303f7fac41,"Future Fly Boards, Point-7, LSD Fins, Brunotti Sportswear, z-foils",1996.0
Stephane Vuduc,51.0,French ,NC-75,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1570&cHash=06064d8688dd0bbf1d055ff28652049d,"JP, NeilPryde",1974.0
Steffi Wahl,46.0,German ,G-303,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=55&cHash=a44965070ef309f73ae99faef802f55e,"Windflüchter Surfboards, Goya Windsurfing, Xcel, K4 Fins, SWOX",1979.0
Helena Wanser,,German ,GER-68,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1979&cHash=5c0ec0d48831863c49cb88e16b165fbb,,
Adam Warchol,23.0,Polish ,POL-111,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1884&cHash=f7c4a29781a53ce918e62302ebbd0c39,"Quatro International, Goya Windsurfing, MFC",2002.0
Tiffany Ward,45.0,American ,US-69,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=281&cHash=751e2f0875f6ec9ebe877dce56d23011,"Starboard, Ezzy Sails, Pakaloha, Chinook, Dakine, Maui Catering Services",1980.0
Nicolas Warembourg,,French ,FRA-531,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=870&cHash=a5943145cf2f30252202373614c7e20b,"Patrik Boards, Patrik Sails, Ultramaina Golf and Gliss, OGS voile, NP, Loc surf",
Caroline Weber,38.0,German ,G-118,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1330&cHash=574659b64c896fea973b972055b2eb64,"Bruch Boards, Sailloft Hamburg, Prolimit, Maui Ultra Fins",1987.0
Felipe Wedeles,,Chilean ,CHI-17,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1650&cHash=f7d359a6413537c44280c29c1d388ddd,"Goya Windsurfing, Hotel Suraz",
Florian Wegerer,30.0,British ,NB-16,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1265&cHash=3a4685ab63be232e12aaeaa63fb11ce2,,1995.0
Xu Wei,,Andorran ,CHN- 271,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1868&cHash=112b3dd0ea11880f7a7e929de3f21bf8,Starboard,
Sara Wennekes,29.0,Dutch ,NED-33,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1964&cHash=fcf346ccf1bf127f783822cf473b4fcc,"Future Fly Boards, Severne Windsurfing, Prolimit",1996.0
Lisa Wermeister,19.0,French ,F-293,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1906&cHash=65500febd94cfbfb6db40deb62382e2b,"Duotone, Sooruz, Windy Sails, Maui Ultra Fins",2006.0
Thomas Wessel Wessel Svensson,44.0,Norwegian ,N-14,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1223&cHash=311732395dd3b9ee4ba8f754b776715e,"Tabou Boards, GA Sails",1981.0
Nathan Westera,22.0,Arubian ,ARU-8,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1812&cHash=7f5c74afac7303485725f13b396462ba,,2003.0
Ethan Westera,27.0,Dutch ,ARU-4,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1271&cHash=6dc154b54a20b80179e6e42130c55413,"Tabou Boards, GA Sails, World of Windsurfing, F-hot Fins",1998.0
Julian Wiemar,27.0,German ,G-2111,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1613&cHash=7e043c912f65e5d4952a3439df67d94f,"Starboard, Severne Windsurfing, Lagoa Fins, Prolimit",1998.0
Basile Wilhelem,,French ,FRA-1077,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1852&cHash=1ff323a7970db51a7ade1b8dd50483f7,Starboard,
Ross Williams,45.0,British ,GBR-83,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=227&cHash=31ee5865659653cae08a7ef4ed79917b,"Tabou Boards, GA Sails, Mystic, Shamal Sunglasses",1980.0
Eilon Wilson,32.0,Israeli ,ISR-24,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1678&cHash=7a89ff4c73f30822087cdaebfa1f7d8d,"Patrik Boards, Point-7",1993.0
Fabian Wolf,26.0,German ,GER-404,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1821&cHash=4ca74c93cb3824b6e6fc233f84674c96,"Starboard, Severne Windsurfing",1999.0
Kacper Wozniak,28.0,British ,GBR-58,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1948&cHash=16ebe4081912632b5141471010f15489,Loftsails,1997.0
Eva Wyss,38.0,Swiss ,SUI-13,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1802&cHash=5c171c83b8b9ce952eeeb6574cec1229,,1987.0
Johnny Yagen,26.0,Israeli ,ISR-02,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1497&cHash=d0242766cd460f454abd4d47e0ec1434,"RRD, Bomber Eyewear, Ocean Nation",1999.0
Berk Yalgin,44.0,Turkish ,TUR-466,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1143&cHash=72aacc66af683411215b23c52bc6f483,"Tabou Boards, GA Sails, Quiksilver",1981.0
Miki Yamabe,31.0,Japanese ,JPN-31,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1768&cHash=a40636da4de5d1483f2e41e2aed7a7e3,SAGAMI,1994.0
Akihiko Yamada,58.0,Japanese ,JPN-67,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=226&cHash=c699306aeb88dc3a9971767e58695f25,"Patrik Boards, Loftsails, Prolimit, Tears, MRC",1967.0
Yamaura Yoshihiro,34.0,Japanese ,JPN-317,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2231&cHash=a181d61784c5336697f178f3d41e8056,"Patrik Boards, Loftsails",1991.0
Masahiro Yoshitake,,Japanese ,J-134,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2065&cHash=22d8dc1d311d027f11c9291aa098df53,,
Mathilde Zampieri,24.0,French ,TAH-987,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1714&cHash=96bef30528887f812d62a378dc526915,"GUNSAILS, Air Tahiti Nui Airline, Nesian Raiatea Windsurfing, Maui Ultra Fins, Julbo",2001.0
Nikolay Zhavoronkov,37.0,Russian ,RUS-07,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1629&cHash=778db37d75de5f073a4a4dd51af56624,"Patrik Boards, Sailloft Hamburg",1988.0
Jakub Zima,,Czech Republic ,CZE-777,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1983&cHash=58d84915bec1495b38e7cdd25de114ad,,
Serena Zoia,45.0,Italian ,ESP-17,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1341&cHash=4070cfed7fbc860f62f679bd42d4a721,"Fanatic, Duotone, Sportlink.es, Prolimit",1980.0
Annamaria Zollet,37.0,Italian ,I-908,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1139&cHash=7bd1fae819fe9fe9a93883134ac4dec5,"Sailboards Tarifa, Hot Sails Maui, AL360, K4 Fins, Ænha Beachwear",1988.0
Jazzy Noah Zwerus,29.0,Dutch ,NED-180,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1609&cHash=6c3894c083104d78e3ec60faf23a5b0a,"JP, NeilPryde, Lulifama Swimwear, Lagoa Fins",1996.0
