name,age,nationality,sail_no,pwa_url,current_sponsors,pwa_yob
Philip Soltysiak,37.0,Canadian ,CAN-9,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=939&cHash=9692cd93d82f62f789b1b3f88b6481ff,"Starboard, Sailworks, Makani Fins, Dakine, Streamlined, Bondic, Camaro Wetsuits, Peppers Eyeware, No Limitz",1988.0
Sara Sommer,36.0,Danish ,D-107,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1451&cHash=bbff9539712e530b0bde3f9ef5404c56,Severne Windsurfing,1989.0
Primus Sorling,,Swedish ,SWE-333,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2124&cHash=a9a9b993a3cb15a15083feae7cd9d3a4,"Fanatic, Duotone, Maui Ultra Fins",
John Soukos,21.0,Greek ,GRE-198,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2020&cHash=b5afe45d931a8ad620f1fb358f4d73aa,"RRD, Challenger Sails",2004.0
Simon Sousa,24.0,Peruvian ,PER-8,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1695&cHash=7cbb4dee3c275d338e67bace8f5a1ac8,Loftsails,2001.0
Edvan Souza,37.0,Brazilian ,BRA-250,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=999&cHash=277fcf3dc3b603e78764b67b47b8533a,"Severne Windsurfing, Wind Jeri, RRD",1988.0
Murat Soyak,54.0,Turkish ,TUR-102,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1079&cHash=ecd29a2c5bc64b3faeb057223dc1c90a,,1971.0
Nick Spangenberg,22.0,German ,G-141,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2015&cHash=2fca513bded4600da1cd1d8fbf72824f,"JP Australia, GUNSAILS, Maui Ultra Fins, Haertewerk, Izipizi",2003.0
Felix Spencer,30.0,Australian ,AUS-69,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1734&cHash=f6e033ea5b6620309038d8dee3373aa2,Severne Windsurfing,1995.0
Loick Spicher,32.0,Swiss ,SUI-19,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1305&cHash=7865a318d264ef61df577002a2c447d3,"RRD, Lagoa Fins, ION, Wind Jeri",1993.0
