Name,Age,Nationality,Sail No,Profile URL,Current Sponsor
Marc,,French ,NC-42,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1923&cHash=95e67e5708f7c2f0a7f80faea1b05def,
Vickey  Abbot,39.0,British ,AWT-3,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1639&cHash=3079be6910811c9a204a0edff446b23b,"Quatro International, Goya Windsurfing, Bluesmiths"
,,,,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=178&cHash=e69ca7604edb68a5a14a6aa8c8920a01,
Rafael  Aguado,54.0,Spanish ,ES-101,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1875&cHash=b8a5ae4d16b761d72c0879053a68af75,"Starboard, Severne Windsurfing"
Mariana  Aguilar Chavez Peon,26.0,Mexican ,MEX-2,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2235&cHash=d3e6a8605a12b1ab05b816b468302fb9,
Sean  Aiken,57.0,American ,USA-62,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=8&cHash=fc14e76f6d8659920ef551dec59fddaa,"Quatro International, Naish Sails, No Limit Surf shop"
Nicolas  Akgazciyan,39.0,French ,F-400,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=327&cHash=eff404308eaea3d38a4eca965cee73d4,"JP, NeilPryde, L'Artisan Groupe OPB, ClimatPur Maintenance, Sooruz, Le Grand Narbonne, Leucate, Pierrick Harangwine, Maui Ultra Fins"
Marina  Alabau,39.0,Spanish ,E-1,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1871&cHash=e962b235720acf14814ce5eb4c3ee00f,"Severne Windsurfing, Starboard Foil"
Blanca  Alabau,28.0,Spanish ,E-3,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1872&cHash=e79fc025070e227bfdab5ecca952ded9,"WeOne, Severne Windsurfing, ZFoils"
Guillermo  Alba Lasheras,40.0,Spanish ,E-68,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1728&cHash=a53e3f979f6955000eefd581f5870961,"Goya Windsurfing, ION"
Silvia  Alba Orozco,43.0,Spanish ,E-67,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=369&cHash=e6895220024e75e82e8ef773590cf533,"Quatro International, Goya Windsurfing, Goya Windsurfing, MFC"
Antoine  Albeau,52.0,French ,F-192,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=9&cHash=9ffbb805d9f611f7c5638b331f7f3c36,"JP, NeilPryde, Garmin, Quiksilver, Man NegoLoc, PNJ Cam.com, Chris Benz, Orange, NeilPryde Foils, Yamaha WaveRunners, Sellsy"
