source,event_id,eventDivisionid,name,athleteId,place,Points,incomplete
PWA,358,964,Mike Friedl (sr),E-714,41,839,False
PWA,358,964,Daniel Bruch,G-1181,41,839,False
PWA,358,964,Martin Ovsik,CZ-66,41,839,False
PWA,358,964,Nick Spangenberg,G-141,41,839,False
PWA,358,964,Panos Lamaris,GR-264,41,839,False
PWA,358,965,Lina Erpenstein,G-3,1,10000,False
PWA,358,965,Iballa Ruano Moreno,E-63,2,8500,False
PWA,358,965,Alexia Kiefer Quintana,E-59,3,7650,False
PWA,358,965,Sarah-Quita Offringa,ARU-91,4,6885,False
PWA,358,965,Pauline Katz,SUI-678,5,6340,False
PWA,358,965,Maria Morales Navarro,E-737,6,5890,False
PWA,358,965,Justyna Sniady,POL-1111,7,5450,False
PWA,358,965,Line Bang Wittrup,D-82,8,5040,False
PWA,358,965,Marine Hunter,FRA-181,9,4670,False
PWA,358,965,Sol Degrieck,B-5,9,4670,False
PWA,358,965,Maria Behrens,G-209,11,4213,False
PWA,358,965,Blanca Alabau,E-3,11,4213,False
PWA,358,965,Caroline Weber,G-118,13,3803,False
PWA,358,965,Sybille Bode,G-132,13,3803,False
PWA,358,965,Elena Dominick,G-1309,15,3433,False
PWA,358,965,Sarah Jackson,GBR-71,15,3433,False
PWA,358,965,Lizzlotte Schilling Andrew,E-247,17,2946,False
PWA,358,965,Cori McFarlane,K-,17,2946,False
PWA,358,965,Milanka Linde,G-1316,17,2946,False
PWA,358,965,Julia Meijer,H-69,17,2946,False
PWA,358,965,Annagiulia Piccaglia,E-19,21,2523,False
PWA,358,965,Lisa Kloster,G-444,21,2523,False
PWA,363,978,Marc Paré,E-334,1,10000,False
PWA,363,978,Marcilio Browne,BRA-105,2,8500,False
PWA,363,978,Victor Fernandez,E-42,3,7650,False
PWA,363,978,Antoine Martin,F-193,4,6885,False
PWA,363,978,Robby Swift,K-89,5,5680,False
PWA,363,978,Philip Köster,G-44,5,5680,False
PWA,363,978,Marino Gil Gherardi,E-959,5,5680,False
PWA,363,978,Miguel Chapuis,E-99,5,5680,False
PWA,363,978,Liam Dunkerbeck Morales,E-11,9,4029,False
PWA,363,978,Thomas Traversa,F-3,9,4029,False
PWA,363,978,Dieter Van der Eyken,B-35,9,4029,False
PWA,363,978,Henri Kolberg,G-45,9,4029,False
PWA,363,978,Jules Denel,FRA-41,9,4029,False
