,source,event_id,heat_id,division_id,athlete_id,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points,heat_id_athlete_id
81,Live Heats,72489,1654289,168260,776177,4.0,4.0,,,True,0.0,0.0,4.0,1654289_776177
82,Live Heats,72489,1654289,168260,776178,5.0,5.0,,,True,0.0,0.0,5.0,1654289_776178
83,Live Heats,117331,1764542,247053,527155,1.0,1.0,,,True,0.0,0.0,1.0,1764542_527155
84,Live Heats,117331,1764542,247053,1171826,2.0,2.0,,,True,0.0,0.0,2.0,1764542_1171826
85,Live Heats,117331,1764542,247053,822932,3.0,3.0,,,True,0.0,0.0,3.0,1764542_822932
86,Live Heats,117331,1764542,247053,845736,4.0,4.0,,,True,0.0,0.0,4.0,1764542_845736
87,Live Heats,117331,1764542,247053,814748,5.0,5.0,,,True,0.0,0.0,5.0,1764542_814748
88,Live Heats,117331,1764542,247053,837486,6.0,6.0,,,True,0.0,0.0,6.0,1764542_837486
89,Live Heats,117331,1764542,247053,1198339,7.0,7.0,,,True,0.0,0.0,7.0,1764542_1198339
90,Live Heats,117331,1764542,247053,923487,7.0,7.0,,,True,0.0,0.0,7.0,1764542_923487
91,Live Heats,117331,1764542,247053,820094,9.0,9.0,,,True,0.0,0.0,9.0,1764542_820094
92,Live Heats,117331,1764542,247053,1334796,9.0,9.0,,,True,0.0,0.0,9.0,1764542_1334796
93,Live Heats,117331,1764542,247053,530552,9.0,9.0,,,True,0.0,0.0,9.0,1764542_530552
94,Live Heats,117331,1764542,247053,1578513,9.0,9.0,,,True,0.0,0.0,9.0,1764542_1578513
95,Live Heats,117331,1764542,247053,818279,13.0,13.0,,,True,0.0,0.0,13.0,1764542_818279
96,Live Heats,117331,1764542,247053,819666,13.0,13.0,,,True,0.0,0.0,13.0,1764542_819666
97,Live Heats,117331,1764542,247053,1169354,13.0,13.0,,,True,0.0,0.0,13.0,1764542_1169354
98,Live Heats,117331,1764542,247053,1411927,13.0,13.0,,,True,0.0,0.0,13.0,1764542_1411927
99,Live Heats,117331,1764542,247053,818679,17.0,17.0,,,True,0.0,0.0,17.0,1764542_818679
100,Live Heats,117331,1764542,247053,843557,17.0,17.0,,,True,0.0,0.0,17.0,1764542_843557
101,Live Heats,117331,1764542,247053,1169635,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1169635
102,Live Heats,117331,1764542,247053,1200379,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1200379
103,Live Heats,117331,1764542,247053,1408086,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1408086
104,Live Heats,117331,1764542,247053,1409162,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1409162
105,Live Heats,117331,1764542,247053,1200835,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1200835
106,Live Heats,117331,1764542,247053,1200826,17.0,17.0,,,True,0.0,0.0,17.0,1764542_1200826
107,Live Heats,117331,1764542,247053,817916,25.0,25.0,,,True,0.0,0.0,25.0,1764542_817916
108,Live Heats,117331,1764542,247053,835109,25.0,25.0,,,True,0.0,0.0,25.0,1764542_835109
