,source,event_id,eventDivisionId,sex,round_name,round_order,heat_id,heat_order,total_winners_progressing,winners_progressing_to_round_order,total_losers_progressing,losers_progressing_to_round_order,Total_Round_Heats,Max_Heats,actual_heat_order,y_pos
0,Live Heats,72449,168178,Men,Final,0,1524498,0,8.0,9.0,,,1,1,1,1.0
1,Live Heats,72449,168179,Women,Final,0,1524531,0,8.0,9.0,,,1,1,1,1.0
2,Live Heats,72449,168181,Masters,Final,0,1524533,0,8.0,9.0,,,1,1,1,1.0
3,Live Heats,72450,168184,Men,Final,0,2011758,0,0.0,1.0,,,1,1,1,1.0
4,Live Heats,72450,168185,Women,Final,0,2011791,0,0.0,1.0,,,1,1,1,1.0
5,Live Heats,72452,168196,Men,Round 1,0,1720244,0,,,,,8,8,1,1.0
6,Live Heats,72452,168196,Men,Quarter Finals,1,1720252,0,,,,,4,8,1,3.0
7,Live Heats,72452,168196,Men,Semi finals,2,1720256,0,,,,,2,8,1,4.0
8,Live Heats,72452,168196,Men,Finals,3,1720258,0,,5.0,,4.0,1,8,1,4.5
9,Live Heats,72452,168196,Men,Round 1,0,1720245,1,,,,,8,8,2,2.0
10,Live Heats,72452,168196,Men,Quarter Finals,1,1720253,1,,,,,4,8,2,4.0
11,Live Heats,72452,168196,Men,Semi finals,2,1720257,1,,,,,2,8,2,5.0
12,Live Heats,72452,168196,Men,Round 1,0,1720246,2,,,,,8,8,3,3.0
13,Live Heats,72452,168196,Men,Quarter Finals,1,1720254,2,,,,,4,8,3,5.0
14,Live Heats,72452,168196,Men,Round 1,0,1720247,3,,,,,8,8,4,4.0
15,Live Heats,72452,168196,Men,Quarter Finals,1,1720255,3,,,,,4,8,4,6.0
16,Live Heats,72452,168196,Men,Round 1,0,1720248,4,,,,,8,8,5,5.0
17,Live Heats,72452,168196,Men,Round 1,0,1720249,5,,,,,8,8,6,6.0
18,Live Heats,72452,168196,Men,Round 1,0,1720250,6,,,,,8,8,7,7.0
19,Live Heats,72452,168196,Men,Round 1,0,1720251,7,,,,,8,8,8,8.0
20,Live Heats,72453,168199,Men,Final,0,1650527,0,0.0,1.0,,,1,1,1,1.0
21,Live Heats,72454,168205,Men,Round 1,0,1822184,0,2.0,2.0,2.0,1.0,6,6,1,1.0
22,Live Heats,72454,168205,Men,Round 2,1,1822190,0,1.0,2.0,,,4,6,1,2.0
23,Live Heats,72454,168205,Men,Quarterfinal,2,1822194,0,2.0,3.0,,,4,6,1,2.0
24,Live Heats,72454,168205,Men,Semifinal,3,1822198,0,,,,,2,6,1,3.0
25,Live Heats,72454,168205,Men,Final,4,1822200,0,0.0,1.0,,,1,6,1,3.5
26,Live Heats,72454,168205,Men,Round 1,0,1822185,1,2.0,2.0,2.0,1.0,6,6,2,2.0
27,Live Heats,72454,168205,Men,Round 2,1,1822191,1,1.0,2.0,,,4,6,2,3.0
28,Live Heats,72454,168205,Men,Quarterfinal,2,1822195,1,2.0,3.0,,,4,6,2,3.0
29,Live Heats,72454,168205,Men,Semifinal,3,1822199,1,,,,,2,6,2,4.0
30,Live Heats,72454,168205,Men,Round 1,0,1822186,2,2.0,2.0,2.0,1.0,6,6,3,3.0
31,Live Heats,72454,168205,Men,Round 2,1,1822192,2,1.0,2.0,,,4,6,3,4.0
32,Live Heats,72454,168205,Men,Quarterfinal,2,1822196,2,2.0,3.0,,,4,6,3,4.0
33,Live Heats,72454,168205,Men,Round 1,0,1822187,3,2.0,2.0,2.0,1.0,6,6,4,4.0
